"Month","Average monthly temperatures in Dubuque, Iowa, January 1964 through december 1975, n=144"
"1964-01",24.7
"1964-02",25.7
"1964-03",30.6
"1964-04",47.5
"1964-05",62.9
"1964-06",68.5
"1964-07",73.7
"1964-08",67.9
"1964-09",61.1
"1964-10",48.5
"1964-11",39.6
"1964-12",20.0
"1965-01",16.1
"1965-02",19.1
"1965-03",24.2
"1965-04",45.4
"1965-05",61.3
"1965-06",66.5
"1965-07",72.1
"1965-08",68.4
"1965-09",60.2
"1965-10",50.9
"1965-11",37.4
"1965-12",31.1
"1966-01",10.4
"1966-02",21.6
"1966-03",37.4
"1966-04",44.7
"1966-05",53.2
"1966-06",68.0
"1966-07",73.7
"1966-08",68.2
"1966-09",60.7
"1966-10",50.2
"1966-11",37.2
"1966-12",24.6
"1967-01",21.5
"1967-02",14.7
"1967-03",35.0
"1967-04",48.3
"1967-05",54.0
"1967-06",68.2
"1967-07",69.6
"1967-08",65.7
"1967-09",60.8
"1967-10",49.1
"1967-11",33.2
"1967-12",26.0
"1968-01",19.1
"1968-02",20.6
"1968-03",40.2
"1968-04",50.0
"1968-05",55.3
"1968-06",67.7
"1968-07",70.7
"1968-08",70.3
"1968-09",60.6
"1968-10",50.7
"1968-11",35.8
"1968-12",20.7
"1969-01",14.0
"1969-02",24.1
"1969-03",29.4
"1969-04",46.6
"1969-05",58.6
"1969-06",62.2
"1969-07",72.1
"1969-08",71.7
"1969-09",61.9
"1969-10",47.6
"1969-11",34.2
"1969-12",20.4
"1970-01",8.4
"1970-02",19.0
"1970-03",31.4
"1970-04",48.7
"1970-05",61.6
"1970-06",68.1
"1970-07",72.2
"1970-08",70.6
"1970-09",62.5
"1970-10",52.7
"1970-11",36.7
"1970-12",23.8
"1971-01",11.2
"1971-02",20.0
"1971-03",29.6
"1971-04",47.7
"1971-05",55.8
"1971-06",73.2
"1971-07",68.0
"1971-08",67.1
"1971-09",64.9
"1971-10",57.1
"1971-11",37.6
"1971-12",27.7
"1972-01",13.4
"1972-02",17.2
"1972-03",30.8
"1972-04",43.7
"1972-05",62.3
"1972-06",66.4
"1972-07",70.2
"1972-08",71.6
"1972-09",62.1
"1972-10",46.0
"1972-11",32.7
"1972-12",17.3
"1973-01",22.5
"1973-02",25.7
"1973-03",42.3
"1973-04",45.2
"1973-05",55.5
"1973-06",68.9
"1973-07",72.3
"1973-08",72.3
"1973-09",62.5
"1973-10",55.6
"1973-11",38.0
"1973-12",20.4
"1974-01",17.6
"1974-02",20.5
"1974-03",34.2
"1974-04",49.2
"1974-05",54.8
"1974-06",63.8
"1974-07",74.0
"1974-08",67.1
"1974-09",57.7
"1974-10",50.8
"1974-11",36.8
"1974-12",25.5
"1975-01",20.4
"1975-02",19.6
"1975-03",24.6
"1975-04",41.3
"1975-05",61.8
"1975-06",68.5
"1975-07",72.0
"1975-08",71.1
"1975-09",57.3
"1975-10",52.5
"1975-11",40.6
"1975-12",26.2

Average monthly temperatures in Dubuque, Iowa, January 1964 through december 1975, n=144

